,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count
0,278008181,Shiela,,,,6.0
1,482579539,Yahide,within an hour,96%,98%,28.0
2,495867643,Lin,within an hour,100%,100%,7.0
3,21981097,Paola,within a few hours,100%,75%,2.0
4,232012515,Mojdeh,a few days or more,0%,,1.0
5,327957587,Mark,within an hour,90%,90%,2.0
6,390414536,Paulo,a few days or more,44%,47%,99.0
7,215263603,Luxury Escapes,within a few hours,90%,51%,25.0
8,23778624,Kevin,within an hour,100%,100%,2.0
9,448843163,Beverly,within an hour,100%,100%,3.0
10,61334137,Brett,a few days or more,0%,,1.0
11,84707009,Charlie,,,,2.0
12,7271092,Natasha,,,,2.0
13,295028296,Julia,,,,2.0
14,496178738,Esther,within an hour,100%,97%,3.0
15,39301661,Luna,,,,2.0
16,153020699,Rob,,,,3.0
17,256461417,So,,,,3.0
18,150161677,Sergio,,,,2.0
19,159889373,Yu,,,,2.0
20,281933410,Steven,,,,1.0
21,198300524,Marilyn,,,,3.0
22,81742821,Max,,,,2.0
23,385575830,Onefinestay,,,,16.0
24,188804670,Abi,,,,3.0
25,160012982,John,within an hour,100%,96%,6.0
26,191748895,Al,,,,2.0
27,274611850,Daron,,,,3.0
28,251706106,M,,,,1.0
29,7205712,Luke,,,,1.0
30,35834391,Ismail,,,,1.0
31,456862710,Nicole,within an hour,97%,89%,6.0
32,5992350,Jana,,,,1.0
33,91600765,Lynn,within an hour,100%,99%,14.0
34,3750994,Jr,within a few hours,100%,67%,2.0
35,351845627,Sindy,,,0%,4.0
36,379315717,Sharokh,,,,1.0
37,23458477,Marina,within a day,58%,84%,129.0
38,484477694,Bobby,within an hour,100%,100%,57.0
39,34660629,Kelly,,,,3.0
40,414598665,Wang,,,,3.0
41,265213452,Catalina Glamping,within a few hours,96%,97%,54.0
42,5390998,Stuart,,,,2.0
43,52677363,Marc,within a few hours,100%,,1.0
44,1242157,Catherine,,,,1.0
45,38207395,Marianne,within an hour,100%,83%,1.0
46,832981,Alyson,,,89%,1.0
47,3805065,Erin,,,,5.0
48,61605043,Scott,,,,1.0
49,33249323,Julia & Joe,within a few hours,100%,79%,86.0
50,3953867,Keller,,,100%,3.0
51,481187016,Amir Masoud,within an hour,100%,96%,60.0
52,49299834,Nayrika,,,,2.0
53,13361994,Jack,,,,4.0
54,24598375,Latoya,,,,1.0
55,174792040,RoomPicks By Victoria,within an hour,100%,98%,9168.0
56,52315128,Waq,,,,1.0
57,7380578,Chris & Diana,,,,2.0
