,Unnamed: 0,id,name,host_id,price,minimum_nights,maximum_nights,availability_365
0,0,36978719,Home in Alhambra · 1 bedroom · 1 bed · 1 bath,278008181,$90.00,6,90,0
1,1,930487087555321292,Home in La Puente · ★New · 1 bedroom · 1 bed · 3 baths,482579539,$35.00,1,10,0
2,2,942342470598573002,Home in Rowland Heights · ★New · 1 bedroom · 2 beds · 1 bath,495867643,$69.00,1,365,359
3,3,41240375,Condo in Los Angeles · 1 bedroom · 1 bed · 1.5 baths,21981097,$120.00,30,1125,361
4,4,632034182071149887,Condo in Beverly Hills · 2 bedrooms · 2 beds · 1.5 baths,232012515,$450.00,1,365,180
5,5,879899771279908543,Home in Castaic · ★4.75 · 5 bedrooms · 7 beds · 4.5 baths,327957587,"$1,400.00",7,10,238
6,6,906882865272179753,Home in Bell · 1 bedroom · 1 bed · 2 baths,390414536,$80.00,1,365,364
7,7,820743631455818246,Home in Los Angeles · 6 bedrooms · 3 beds · 3 baths,215263603,$180.00,30,365,365
8,8,15239926,Barn in Santa Clarita · ★4.99 · 1 bedroom · 1 bed · 1 bath,23778624,$201.00,2,30,87
9,9,624940096190408707,Rental unit in Inglewood · ★4.92 · 2 bedrooms · 3 beds · 1 bath,448843163,$105.00,31,1125,64
10,10,15452024,"Home in San Dimas, California, US · ★3.67 · 1 bedroom · 1 bed · 1 shared bath",61334137,$80.00,1,3,365
11,11,14821183,Home in Diamond Bar · 1 bedroom · 1 bed · 1 bath,84707009,$88.00,1,1125,0
12,12,9593699,Home in Altadena · 1 bedroom · 1 bed · 1 bath,7271092,$59.00,2,1125,0
13,13,38669959,Home in Los Angeles · 6 bedrooms · 20 beds · 2 shared baths,295028296,$35.00,31,1125,0
14,14,806026954826707114,Rental unit in Hawthorne · ★4.88 · 1 bedroom · 1 bed · 1 private bath,496178738,$68.00,1,365,0
15,15,18976122,Rental unit in Los Angeles · 1 bedroom · 1 bed · 1 shared bath,39301661,$60.00,30,1125,0
16,16,21189205,Rental unit in Los Angeles · 1 bedroom · 1 bed · 1 bath,153020699,$75.00,58,58,0
17,17,33965560,Villa in San Gabriel · 1 bedroom · 1 bed · 1 shared bath,256461417,$60.00,1,1125,0
18,18,26296415,Rental unit in Torrance · ★5.0 · 1 bedroom · 1 bed · 1 bath,150161677,$180.00,1,1125,0
19,19,22746714,Home in Arcadia · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,159889373,$35.00,1,1125,0
20,20,37399802,Home in Los Angeles · Studio · 1 bed · 1 private bath,281933410,$20.00,30,1125,0
21,21,35899092,Rental unit in Los Angeles · 1 bedroom · 1 bed · 1 bath,198300524,$175.00,30,1125,0
22,22,32674831,Rental unit in Redondo Beach · 1 bedroom · 1 bed · 1 private bath,81742821,$67.00,2,1125,0
23,23,52144669,Rental unit in Los Angeles · 3 bedrooms · 3 beds · 2 baths,385575830,"$2,275.00",30,1125,0
24,24,37425562,Condo in West Hollywood · 1 bedroom · 1 bed · 1 private bath,188804670,$180.00,30,1125,0
25,25,885547637602760980,Home in El Monte · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,160012982,$44.00,3,28,154
