,Unnamed: 0,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count
0,0,278008181,Shiela,,,,6.0
1,1,482579539,Yahide,within an hour,96%,98%,28.0
2,2,495867643,Lin,within an hour,100%,100%,7.0
3,3,21981097,Paola,within a few hours,100%,75%,2.0
4,4,232012515,Mojdeh,a few days or more,0%,,1.0
5,5,327957587,Mark,within an hour,90%,90%,2.0
6,6,390414536,Paulo,a few days or more,44%,47%,99.0
7,7,215263603,Luxury Escapes,within a few hours,90%,51%,25.0
8,8,23778624,Kevin,within an hour,100%,100%,2.0
9,9,448843163,Beverly,within an hour,100%,100%,3.0
10,10,61334137,Brett,a few days or more,0%,,1.0
11,11,84707009,Charlie,,,,2.0
12,12,7271092,Natasha,,,,2.0
13,13,295028296,Julia,,,,2.0
14,14,496178738,Esther,within an hour,100%,97%,3.0
15,15,39301661,Luna,,,,2.0
16,16,153020699,Rob,,,,3.0
17,17,256461417,So,,,,3.0
18,18,150161677,Sergio,,,,2.0
19,19,159889373,Yu,,,,2.0
20,20,281933410,Steven,,,,1.0
21,21,198300524,Marilyn,,,,3.0
22,22,81742821,Max,,,,2.0
23,23,385575830,Onefinestay,,,,16.0
24,24,188804670,Abi,,,,3.0
25,25,160012982,John,within an hour,100%,96%,6.0
26,26,191748895,Al,,,,2.0
27,27,274611850,Daron,,,,3.0
28,28,251706106,M,,,,1.0
29,29,7205712,Luke,,,,1.0
30,30,35834391,Ismail,,,,1.0
31,31,456862710,Nicole,within an hour,97%,89%,6.0
32,32,5992350,Jana,,,,1.0
33,33,91600765,Lynn,within an hour,100%,99%,14.0
34,34,3750994,Jr,within a few hours,100%,67%,2.0
35,35,351845627,Sindy,,,0%,4.0
36,36,379315717,Sharokh,,,,1.0
37,37,23458477,Marina,within a day,58%,84%,129.0
38,38,484477694,Bobby,within an hour,100%,100%,57.0
39,39,34660629,Kelly,,,,3.0
40,40,414598665,Wang,,,,3.0
41,41,265213452,Catalina Glamping,within a few hours,96%,97%,54.0
42,42,5390998,Stuart,,,,2.0
43,43,52677363,Marc,within a few hours,100%,,1.0
44,44,1242157,Catherine,,,,1.0
45,45,38207395,Marianne,within an hour,100%,83%,1.0
46,46,832981,Alyson,,,89%,1.0
47,47,3805065,Erin,,,,5.0
48,48,61605043,Scott,,,,1.0
49,49,33249323,Julia & Joe,within a few hours,100%,79%,86.0
50,50,3953867,Keller,,,100%,3.0
51,51,481187016,Amir Masoud,within an hour,100%,96%,60.0
52,52,49299834,Nayrika,,,,2.0
53,53,13361994,Jack,,,,4.0
54,54,24598375,Latoya,,,,1.0
55,55,174792040,RoomPicks By Victoria,within an hour,100%,98%,9168.0
56,56,52315128,Waq,,,,1.0
57,57,7380578,Chris & Diana,,,,2.0
58,58,33888167,Sofia,within an hour,100%,77%,8.0
59,59,56867523,Randall,,,,1.0
60,60,504528690,Rahim,within an hour,100%,95%,45.0
61,61,21458609,At-Homeness Vacation Rentals,within an hour,100%,98%,93.0
62,62,431185636,Lisa,within an hour,100%,100%,1.0
63,63,7027528,Angela,,,,2.0
64,64,1310266,Sarah,,,,2.0
65,65,209323229,Sousan,,,,1.0
66,66,44792103,Marc,,,,1.0
67,67,68437493,Dick,,,,1.0
68,68,15931063,Waverly,,,,1.0
69,69,67470756,Guru,,,,1.0
70,70,169436070,Steven,,,,1.0
71,71,508776081,Jia,within an hour,100%,97%,9.0
72,72,31464866,Jared,,,,1.0
73,73,232927931,Gabriel F C Oliveira,,,,3.0
74,74,91551592,Ishan,,,,2.0
75,75,342075388,Le Parc Suite Hotel,,,100%,4.0
76,76,209743834,Sukho,,,98%,39.0
77,77,368761445,Priscilla,,,,1.0
78,78,18357229,Magnolia,,,,2.0
79,79,29981291,Agatha,,,,3.0
80,80,20734082,Lukia,,,,1.0
81,81,194417756,Marina,within an hour,100%,97%,10.0
82,82,162843315,Rj,,,,1.0
83,83,24739186,Mustafa,,,,3.0
84,84,21534653,Zhan,,,,1.0
85,85,188392455,Laura,,,,1.0
86,86,4676476,Mariel,,,,1.0
87,87,182232906,Diana,within an hour,100%,96%,1.0
88,88,484275960,Fernanda,within an hour,100%,100%,55.0
89,89,232651,Danielle,,,,3.0
90,90,94970010,Rena,,,,1.0
91,91,173872233,Lee,,,,29.0
92,92,151460628,Stefanie,,,,1.0
93,93,64310509,Jacquelyn,,,,4.0
94,94,152383261,Joyce,,,,1.0
95,95,136486644,Brenda,within an hour,100%,94%,9.0
96,96,70233166,Matthew,,,,1.0
97,97,445110612,Caryn,,,85%,12.0
98,98,18308009,Lauren,,,,1.0
99,99,44290147,Ben,,,,4.0
100,100,83436388,David,,,,1.0
101,101,132130173,Aaron,,,,1.0
102,102,10849891,Sylvia,within a day,100%,100%,4.0
103,103,88380923,Kenny & Lorna,within an hour,100%,97%,1.0
104,104,86413741,Austin,,,,2.0
105,105,24563544,Tim,,,,1.0
106,106,184906187,Yulin,,,,2.0
107,107,35233243,Jessica,within a day,71%,,1.0
108,108,27343875,Eliezer,,,,4.0
109,109,43340898,Ivan,,,,3.0
110,110,11163982,Frank,,,,5.0
111,111,4835856,Nicholas,,,,2.0
112,112,57655243,Keilyn,,,,1.0
113,113,218255111,Ceren,,,,1.0
114,114,223874236,Gabriel,,,,1.0
115,115,4418650,Clara,,,,2.0
116,116,2344764,Kevin,within an hour,100%,100%,24.0
117,117,230447632,Lindsay,,,,2.0
