tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0003665,The Battle of the Sexes,movie,1914,50,Drama
tt0003668,Beating Back,movie,1914,60,"Adventure,Biography,Western"
tt0003669,A becsapott újságíró,movie,1915,\N,\N
tt0003670,Behind the Scenes,movie,1914,75,Drama
tt0003672,La Belle Russe,movie,1914,\N,Drama
tt0003675,The Beloved Adventurer,movie,1914,450,Adventure
tt0003676,Beneath the Czar,movie,1914,\N,Drama
tt0003677,The Better Man,movie,1914,\N,Drama
tt0003685,Det blaa vidunder,movie,1915,\N,Comedy
tt0003686,The Boer War,movie,1914,\N,Drama
tt0003688,The Book of Nature,movie,1914,\N,Documentary
tt0003689,Born Again,movie,1914,\N,Drama
tt0003692,The Boundary Rider,movie,1914,\N,Adventure
tt0003693,A Boy and the Law,movie,1913,\N,Drama
tt0003698,Brewster's Millions,movie,1914,\N,Comedy
tt0003724,In the Days of the Thundering Herd,movie,1914,48,Western
tt0003730,The Burglar and the Lady,movie,1914,\N,"Crime,Drama"
tt0003731,Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,movie,1914,50,"Adventure,Drama"
tt0003732,Burning Daylight: The Adventures of 'Burning Daylight' in Civilization,movie,1914,50,Drama
tt0003735,Bánk bán,movie,1915,\N,\N
tt0003736,C.O.D.,movie,1914,\N,Comedy
tt0003737,Cabalgata de los mercados en Barcelona,movie,1914,\N,Documentary
tt0003738,El caballero Casarroja,movie,1914,\N,\N
tt0003740,Cabiria,movie,1914,148,"Adventure,Drama,History"
tt0003742,Calatayud en fiestas,movie,1914,\N,Documentary
tt0003743,The Call of the North,movie,1914,\N,"Adventure,Drama"
tt0003744,Called Back,movie,1914,\N,Drama
tt0003746,El calvario de un héroe,movie,1914,\N,\N
tt0003747,Cameo Kirby,movie,1914,50,"Action,Drama,Romance"
tt0003748,Captain Alvarez,movie,1914,60,Drama
tt0003749,The Captain Besley Expedition,movie,1914,\N,Documentary
tt0003752,Captain Swift,movie,1914,\N,Drama
tt0003754,The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands,movie,1914,\N,Documentary
tt0003756,Cardinal Richelieu's Ward,movie,1914,\N,Drama
tt0003757,Catástrofe de Aguilón,movie,1914,\N,Documentary
tt0003761,A Celebrated Case,movie,1914,\N,Drama
tt0003763,Charlotte Corday,movie,1914,\N,"Drama,History"
tt0003764,La chavala,movie,1914,\N,\N
tt0003765,The Chechako,movie,1914,\N,Drama
tt0003768,The Chimes,movie,1914,50,"Drama,Fantasy"
tt0003771,The Christian,movie,1914,80,Drama
tt0003772,Cinderella,movie,1914,52,"Drama,Fantasy"
tt0003774,The Circus Man,movie,1914,50,Drama
tt0003779,"Cocaine Traffic; or, the Drug Terror",movie,1914,\N,Drama
tt0003780,The Colosseum in Films,movie,1914,\N,Documentary
tt0003790,The Coming Power,movie,1914,\N,Drama
tt0003791,Common Beasts of Africa,movie,1914,\N,Documentary
