tconst,averageRating,numVotes
tt0002898,6.9,162
tt0002917,5.6,44
tt0002922,4.9,75
tt0002973,5.7,23
tt0002996,3.6,32
tt0003002,5.5,20
tt0003006,5.8,24
tt0003014,7.0,1357
tt0003015,4.7,68
tt0003022,5.6,86
tt0003037,6.9,1636
tt0003102,6.2,146
tt0003131,6.6,177
tt0003159,5.9,53
tt0003165,6.9,1296
tt0003167,5.7,274
tt0003241,5.0,21
tt0003301,5.9,51
tt0003309,4.6,33
tt0003316,6.7,18
tt0003330,6.3,118
tt0003337,5.7,55
tt0003351,4.4,15
tt0003362,5.7,28
tt0003365,4.6,24
tt0003379,3.6,15
tt0003386,7.6,16
tt0003419,6.4,2294
tt0003431,5.6,15
tt0003438,5.7,34
tt0003441,6.0,19
tt0003442,5.2,27
tt0003456,7.2,13
tt0003471,6.0,717
tt0003489,6.1,605
tt0003502,5.3,37
tt0003508,5.7,19
tt0003545,5.2,29
tt0003565,6.2,43
tt0003584,6.7,27
tt0003587,5.3,41
tt0003589,6.1,45
tt0003590,6.5,13
tt0003595,4.1,25
tt0003596,6.0,67
tt0003598,4.6,20
tt0003599,6.4,26
tt0003600,6.4,22
tt0003605,6.0,16
tt0003608,4.0,10
tt0003609,5.1,13
tt0003617,3.3,22
tt0003625,5.2,26
tt0003630,4.5,30
tt0003632,6.3,16
tt0003637,6.2,482
tt0003643,6.4,1372
tt0003651,6.2,9
tt0003657,6.5,232
tt0003665,6.2,100
tt0003668,5.6,23
tt0003670,6.5,35
tt0003675,6.5,23
tt0003686,6.2,16
tt0003692,6.7,18
tt0003698,6.5,53
tt0003724,5.5,36
tt0003731,4.7,22
tt0003735,4.9,34
tt0003740,7.1,3810
tt0003743,5.1,49
tt0003748,8.0,18
tt0003768,3.6,18
tt0003772,6.1,1057
tt0003816,6.4,42
tt0003817,2.7,19
tt0003838,5.8,45
tt0003854,3.7,28
tt0003871,5.2,19
tt0003883,7.2,423
tt0003884,6.6,108
tt0003886,5.8,22
tt0003890,5.5,54
tt0003897,6.3,93
tt0003930,6.8,1392
tt0003952,6.7,1161
tt0003960,5.8,30
tt0003965,6.6,24
tt0003973,5.9,283
tt0004013,4.4,41
tt0004022,6.3,66
tt0004026,6.7,1212
tt0004027,5.7,27
tt0004047,7.0,12
tt0004052,6.8,115
tt0004066,6.8,660
tt0004099,5.4,509
tt0004121,5.7,134
tt0004125,3.0,18
tt0004134,6.5,682
